"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes"
"Nfkbid",115.135050846109,-0.500759314423896,0.113661432727975,-4.40571003202431,1.05437931734701e-05,0.000597516759140548,"Nfkbid"
"Ppib",390.594784872813,0.439514162769866,0.0998989493382456,4.39958743992116,1.08456870415313e-05,0.000608539687765917,"Ppib"
"Coro1a",479.579523306458,-0.335528854648359,0.0763856321559441,-4.39256500441556,1.12021120561745e-05,0.000622376166885695,"Coro1a"
"Nampt",412.036300979209,-0.40806980880075,0.093340351238924,-4.37184779556069,1.23199402363912e-05,0.000677835935142026,"Nampt"
"Cxcl16",595.912593303049,-0.505008858977526,0.115652516336867,-4.36660502488818,1.26192623583366e-05,0.000687628459468205,"Cxcl16"
"Fnip2",35.443253711086,0.623671013550642,0.142951231517708,4.36282364922044,1.28394438601052e-05,0.000692963127192533,"Fnip2"
"Pim3",57.9880558434344,-0.527038476239324,0.121259520710663,-4.34636779982737,1.38410407604488e-05,0.00073997337725909,"Pim3"
"Spata13",70.0094030477733,-0.499543629859243,0.115122292278197,-4.33924325144674,1.42974196672139e-05,0.000757228759384126,"Spata13"
"Chi3l1",34.7926901703533,-0.72715825804897,0.168378153034483,-4.31860217578258,1.57020525025475e-05,0.000823921588258672,"Chi3l1"
"Mki67",164.085364826522,-0.413644650911955,0.0966956800751626,-4.27779866267474,1.88750620834906e-05,0.000981330062634322,"Mki67"
"Mcfd2",80.5348582445752,0.478216253948558,0.111997083156365,4.26989918372155,1.95561344665903e-05,0.00100749649111061,"Mcfd2"
"Derl2",117.77537930951,0.403746577361756,0.0954333805813847,4.2306641020376,2.33002388205897e-05,0.00118957165221875,"Derl2"
"Car4",1047.48195081008,-0.521881250308639,0.123681855522981,-4.21954577008809,2.44795023716541e-05,0.00123861910660861,"Car4"
"Pros1",76.2558189008608,0.466199751747888,0.110755221146344,4.20928013074781,2.56185603623797e-05,0.00128478213781952,"Pros1"
"St8sia4",25.3583849959598,-0.666747242630424,0.158507069457712,-4.20641959321761,2.59448332877282e-05,0.00128973131790838,"St8sia4"
"Hp",28.6833138591045,-0.693018018271868,0.164927075561727,-4.20196632912764,2.64606497905462e-05,0.00130393480315674,"Hp"
"Tlr2",970.551301975391,-0.296200314178812,0.0705790958032383,-4.19671449184565,2.70814978334137e-05,0.0013117166514697,"Tlr2"
"Aldoc",106.746288129846,-0.596347621698827,0.142053257223892,-4.19805665391336,2.69215289326686e-05,0.0013117166514697,"Aldoc"
"Idi1",58.1274830194955,-0.627025172075715,0.149846933492361,-4.18443779570358,2.85872710906527e-05,0.00137291580737906,"Idi1"
"Gm17821",569.380033962344,0.466561012174277,0.111639239977288,4.17918477651045,2.92555919197566e-05,0.00139320537318707,"Gm17821"
"Hepacam2",30.8282451356588,-0.675981823921445,0.161860676334782,-4.17631903701729,2.96264226730461e-05,0.0013991078107346,"Hepacam2"
"Il10ra",112.69597635553,-0.388105218652112,0.0932332947806023,-4.16273198931139,3.14462387088774e-05,0.00147277549391081,"Il10ra"
"Trem1",88.4703337060163,-0.466568251946945,0.112381596712331,-4.15164284541397,3.30097128219059e-05,0.00153332821771919,"Trem1"
"Gpr171",67.8742918636112,0.519763477304389,0.125621511020034,4.13753562653371,3.51055954067208e-05,0.00160438233201522,"Gpr171"
"C3",262.540012328997,-0.482227710819201,0.116536595962173,-4.13799379360395,3.50355846029885e-05,0.00160438233201522,"C3"
"Dstn",662.718674171075,-0.262366602012106,0.0637228015144217,-4.11731116298656,3.83318380676974e-05,0.00173781221063713,"Dstn"
"Irg1",2541.85096083318,-0.544835162937295,0.133038018801724,-4.09533431003135,4.21559629781001e-05,0.00188108537162908,"Irg1"
"Plek",2133.63625041571,-0.409245130398061,0.0999263387581478,-4.09546807662551,4.21316282391101e-05,0.00188108537162908,"Plek"
"Vimp",174.847544902199,0.399867416433323,0.0979677561567793,4.08162269015746,4.47223586445618e-05,0.00196503922199741,"Vimp"
"Hmgcs1",81.283277307425,-0.45378334876679,0.111178401787254,-4.08157826944776,4.47309087061348e-05,0.00196503922199741,"Hmgcs1"
"Gpr160",24.3941420500246,0.665028775043326,0.163251405512809,4.07364808256519,4.62824004272977e-05,0.00201755664016535,"Gpr160"
"Ncoa4",445.916780162146,-0.283889223818585,0.0697258600898847,-4.07150551391721,4.67102564355949e-05,0.00202066429939326,"Ncoa4"
"Gda",97.9603846740522,0.43007517976667,0.105986033885828,4.05784766160759,4.95270558961271e-05,0.00212628655881328,"Gda"
"Anxa2",2619.653759193,-0.286903806147484,0.0710407635890918,-4.03857998777954,5.37757561562924e-05,0.00229133240705044,"Anxa2"
"Acot9",129.908660159118,-0.382983543740035,0.0948826033302949,-4.03639371494514,5.4279098431894e-05,0.00229551978219062,"Acot9"
"Tgm2",617.998217768508,-0.418806651658162,0.104322275593271,-4.014546742548,5.95601399724225e-05,0.00250020232017569,"Tgm2"
"Tnip3",390.090548086684,-0.292709334325892,0.0730674737605018,-4.00601415734346,6.17519493942545e-05,0.00255437351871792,"Tnip3"
"Tmed9",198.374231327933,0.394003410512105,0.0983529895664594,4.00601356653086,6.17521037699585e-05,0.00255437351871792,"Tmed9"
"H2-M2",532.845623453699,-0.596005448003212,0.148982611844347,-4.00050341865333,6.32078739834047e-05,0.00259564508597069,"H2-M2"
"Dpagt1",85.1761168118128,0.442118184072021,0.110843557367757,3.9886683048719,6.64452527142387e-05,0.00270895861245749,"Dpagt1"
"Sec11c",196.134598971694,0.46155220808239,0.115822912990822,3.9849818672663,6.74852788050087e-05,0.00271233386516301,"Sec11c"
"Dpysl2",361.33583031987,-0.34555696507869,0.086711704466115,-3.98512481338348,6.7444665056899e-05,0.00271233386516301,"Dpysl2"
"Trabd",39.675967155558,0.563451108369627,0.141573223904251,3.97992708529899,6.89364089135195e-05,0.00275114527685151,"Trabd"
"Rab32",285.218736109437,-0.29163579640549,0.0736728078356053,-3.95852696501335,7.54134281274337e-05,0.00298858669369347,"Rab32"
"Ccl3",2341.14453003252,-0.556275936282382,0.140632697554283,-3.95552347324964,7.63672490632579e-05,0.00300536944751029,"Ccl3"
"Ccr1",425.514653806124,0.3515591427731,0.0889307797936753,3.9531773317263,7.71202384124784e-05,0.00301407166264493,"Ccr1"
"Ctsk",104.378636789853,-0.552332257575975,0.140542329846386,-3.9300064128699,8.49435960486753e-05,0.00329709149868385,"Ctsk"
"Cd93",145.956143655364,0.37681336951605,0.0964120481585614,3.90836391004094,9.29232664068471e-05,0.00358228673964355,"Cd93"
"F10",433.996150726324,-0.387979774010535,0.0995432834648305,-3.89759871792467,9.71512241010545e-05,0.00371997288500457,"F10"
"Rasgef1b",273.939377708931,-0.441868452896841,0.113478795860322,-3.8938415723121,9.86691032497249e-05,0.00375273696722276,"Rasgef1b"
"Pnpla8",110.800953593648,-0.367873032091025,0.095021454804399,-3.8714733724956,0.000108179476307174,0.00408702061488504,"Pnpla8"
"Lpcat3",137.956052063788,-0.308483576411297,0.0797330007438949,-3.86895731420114,0.0001093017735784,0.00410207384681321,"Lpcat3"
